Month,NP15Power_OnPeak,NP15Power_OffPeak,SP15Power_OnPeak,SP15Power_OffPeak
1/1/2016,30.69953,26.02876,30.13736,25.91339
2/1/2016,25.82421,21.55147,24.4696,20.98809
3/1/2016,21.74625,16.63044,19.60687,15.88092
4/1/2016,23.17461,18.57395,18.92407,17.76825
5/1/2016,23.18425,17.94967,23.06556,18.62839
6/1/2016,31.60502,23.27284,33.41318,25.20544
7/1/2016,37.18619,27.69687,39.02669,28.78066
8/1/2016,38.53528,29.74822,38.57479,29.87804
9/1/2016,37.36841,31.27436,35.54848,29.56634
10/1/2016,36.7745,30.54853,35.44551,30.03511
11/1/2016,33.3812,26.16182,30.66699,24.21092
12/1/2016,39.58479,32.81178,36.3978,30.85371
1/1/2017,37.966,31.33041,36.22455,30.43973
2/1/2017,32.7553,24.52817,28.52162,23.55355
3/1/2017,24.48705,18.82913,23.96694,18.6824
4/1/2017,24.8624,18.71416,26.71048,22.40991
5/1/2017,32.85922,23.66882,32.08479,24.70947
6/1/2017,39.21002,24.78625,38.14115,25.49061
7/1/2017,40.44863,30.47828,41.48606,31.14412
8/1/2017,54.79604,31.9175,54.95711,32.0313
9/1/2017,44.81214,33.35821,43.18259,32.48579
10/1/2017,48.12883,32.38995,47.86068,32.51281
11/1/2017,39.43694,32.33097,44.82295,32.88784
12/1/2017,36.29366,31.80572,44.20797,33.20422
1/1/2018,34.85015,30.5218,37.08525,30.92966
2/1/2018,31.90098,28.55294,37.56372,29.8189
3/1/2018,31.43713,28.13571,32.38782,27.94453
4/1/2018,27.75527,21.35012,27.69442,21.36482
5/1/2018,23.17002,17.67238,24.11888,18.51872
6/1/2018,31.17619,23.97992,31.44664,23.69023
7/1/2018,70.75213,36.51239,101.03531,45.62769
8/1/2018,57.02521,39.89988,85.21571,48.28206
9/1/2018,35.40047,31.15423,38.32056,31.90431
10/1/2018,48.03743,38.02943,41.09345,35.807
11/1/2018,56.24831,47.59696,55.50479,46.70693
12/1/2018,58.87542,48.70625,57.26047,47.9032
1/1/2019,44.17337,37.18207,42.56387,36.64981
2/1/2019,78.95201,71.09836,72.72585,68.4491
3/1/2019,37.23959,35.84919,35.97562,36.07455
4/1/2019,23.41295,20.666,24.82994,21.72482
5/1/2019,20.48179,15.88487,20.24766,16.13143
6/1/2019,25.02202,20.32915,24.81178,20.8928
7/1/2019,33.35134,26.37792,35.23678,26.80865
